firm_id int, firm_name varchar(100), firm_url varchar(300), site_status int, ceo_name varchar(50), settling_day date, exective_name1 varchar(50), exective_name2 varchar(50), exective_name3 varchar(50), exective_name4 varchar(50), exective_name5 varchar(50), exective_name6 varchar(50), exective_name7 varchar(50), exective_name8 varchar(50), exective_name9 varchar(50), exective_name10 varchar(50), exective_name11 varchar(50), exective_name12 varchar(50), exective_name13 varchar(50), exective_name14 varchar(50), exective_name15 varchar(50), ir_url varchar(300), ceo_face_pic_url varchar(300), done int
1301,極洋,,,,,,,,,,,,,,,,,,,,,,1
1305,ダイワ上場投信－トピックス,,,,,,,,,,,,,,,,,,,,,,1
1306,ＴＯＰＩＸ連動型上場投資信託,,,,,,,,,,,,,,,,,,,,,,1
1308,上場インデックスファンドＴＯＰＩＸ,,,,,,,,,,,,,,,,,,,,,,1
1309,ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1310,ダイワ上場投信－トピックス・コア３０,,,,,,,,,,,,,,,,,,,,,,1
1311,ＴＯＰＩＸ　Ｃｏｒｅ　３０　連動型上場投資信託,,,,,,,,,,,,,,,,,,,,,,1
1312,ラッセル野村小型コア・インデックス連動型上場投資信託,,,,,,,,,,,,,,,,,,,,,,1
1313,サムスンＫＯＤＥＸ２００証券上場指数投資信託［株式］,,,,,,,,,,,,,,,,,,,,,,1
1319,日経３００株価指数連動型上場投資信託,,,,,,,,,,,,,,,,,,,,,,1
1320,ダイワ上場投信－日経２２５,,,,,,,,,,,,,,,,,,,,,,1
1321,日経２２５連動型上場投資信託,,,,,,,,,,,,,,,,,,,,,,1
1322,上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,,,,,,,,,,,,,,,,,,,,,,1
1323,ＮＥＸＴ　ＦＵＮＤＳ　南アフリカ株式指数・ＦＴＳＥ／ＪＳＥ　Ａｆｒｉｃａ　Ｔｏｐ４０連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1324,ＮＥＸＴ　ＦＵＮＤＳ　ロシア株式指数・ＲＴＳ連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1325,ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1326,ＳＰＤＲゴールド・シェア,,,,,,,,,,,,,,,,,,,,,,1
1327,Ｓ＆Ｐ　ＧＳＣＩ商品指数　エネルギー＆メタル・キャップド・コンポーネント３５／２０・ＴＨＥＡＭ・イージーＵＣＩＴＳ・ＥＴＦクラスＡ米ドル建受益証券,,,,,,,,,,,,,,,,,,,,,,1
1328,金価格連動型上場投資信託,,,,,,,,,,,,,,,,,,,,,,1
1329,ｉシェアーズ・コア　日経２２５　ＥＴＦ,,,,,,,,,,,,,,,,,,,,,,1
1330,上場インデックスファンド２２５,,,,,,,,,,,,,,,,,,,,,,1
1332,日本水産,,,,,,,,,,,,,,,,,,,,,,1
1333,マルハニチロ,,,,,,,,,,,,,,,,,,,,,,1
1343,ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1344,ＭＡＸＩＳ　トピックス・コア３０上場投信,,,,,,,,,,,,,,,,,,,,,,1
1345,上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,,,,,,,,,,,,,,,,,,,,,,1
1346,ＭＡＸＩＳ　日経２２５上場投信,,,,,,,,,,,,,,,,,,,,,,1
1348,ＭＡＸＩＳ　トピックス上場投信,,,,,,,,,,,,,,,,,,,,,,1
1349,ＡＢＦ汎アジア債券インデックス・ファンド,,,,,,,,,,,,,,,,,,,,,,1
1352,ホウスイ,,,,,,,,,,,,,,,,,,,,,,1
1356,ＴＯＰＩＸベア２倍上場投信,,,,,,,,,,,,,,,,,,,,,,1
1357,ＮＥＸＴ　ＦＵＮＤＳ　日経平均ダブルインバース・インデックス連動型上場投信,,,,,,,,,,,,,,,,,,,,,,1
1358,上場インデックスファンド日経レバレッジ指数,,,,,,,,,,,,,,,,,,,,,,1
1360,日経平均ベア２倍上場投信,,,,,,,,,,,,,,,,,,,,,,1
1364,ｉシェアーズ　ＪＰＸ日経４００　ＥＴＦ,,,,,,,,,,,,,,,,,,,,,,1
1365,ダイワ上場投信－日経平均レバレッジ・インデックス,,,,,,,,,,,,,,,,,,,,,,1
1366,ダイワ上場投信－日経平均ダブルインバース・インデックス,,,,,,,,,,,,,,,,,,,,,,1
1367,ダイワ上場投信－ＴＯＰＩＸレバレッジ（２倍）指数,,,,,,,,,,,,,,,,,,,,,,1
1368,ダイワ上場投信－ＴＯＰＩＸダブルインバース（－２倍）指数,,,,,,,,,,,,,,,,,,,,,,1
1369,Ｏｎｅ　ＥＴＦ　日経２２５,,,,,,,,,,,,,,,,,,,,,,1
1376,カネコ種苗,,,,,,,,,,,,,,,,,,,,,,1
1377,サカタのタネ,,,,,,,,,,,,,,,,,,,,,,1
1379,ホクト,,,,,,,,,,,,,,,,,,,,,,1
1380,秋川牧園,,,,,,,,,,,,,,,,,,,,,,1
1381,アクシーズ,,,,,,,,,,,,,,,,,,,,,,1
1382,ホーブ,,,,,,,,,,,,,,,,,,,,,,1
1383,ベルグアース,,,,,,,,,,,,,,,,,,,,,,1
1384,ホクリヨウ,,,,,,,,,,,,,,,,,,,,,,1
1385,ＵＢＳ　ＥＴＦ　ユーロ圏大型株５０（ユーロ・ストックス５０）,,,,,,,,,,,,,,,,,,,,,,1
1386,ＵＢＳ　ＥＴＦ　欧州株（ＭＳＣＩヨーロッパ）,,,,,,,,,,,,,,,,,,,,,,1
1387,ＵＢＳ　ＥＴＦ　ユーロ圏株（ＭＳＣＩ　ＥＭＵ）,,,,,,,,,,,,,,,,,,,,,,1
1388,ＵＢＳ　ＥＴＦ　ユーロ圏小型株（ＭＳＣＩ　ＥＭＵ小型株）,,,,,,,,,,,,,,,,,,,,,,1
1389,ＵＢＳ　ＥＴＦ　英国大型株１００（ＦＴＳＥ　１００）,,,,,,,,,,,,,,,,,,,,,,1
1390,ＵＢＳ　ＥＴＦ　ＭＳＣＩアジア太平洋株（除く日本）,,,,,,,,,,,,,,,,,,,,,,1
1391,ＵＢＳ　ＥＴＦ　スイス株（ＭＳＣＩスイス２０／３５）,,,,,,,,,,,,,,,,,,,,,,1
1392,ＵＢＳ　ＥＴＦ　英国株（ＭＳＣＩ英国）,,,,,,,,,,,,,,,,,,,,,,1
1393,ＵＢＳ　ＥＴＦ　米国株（ＭＳＣＩ米国）,,,,,,,,,,,,,,,,,,,,,,1
